,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,sioux lookout,ca,50.1001,-91.917,24.41,41.0,0.0,2.34,1627402191.0
1,kavieng,pg,-2.5744,150.7967,28.25,75.0,59.0,6.01,1627402191.0
2,hilo,us,19.7297,-155.09,22.84,95.0,76.0,0.56,1627401984.0
3,vao,nc,-22.6667,167.4833,20.04,58.0,69.0,6.81,1627401974.0
4,punta arenas,cl,-53.15,-70.9167,6.06,84.0,90.0,4.12,1627402191.0
5,new norfolk,au,-42.7826,147.0587,13.84,63.0,99.0,2.24,1627402192.0
6,northam,au,51.0333,-4.2167,21.12,83.0,61.0,6.52,1627402192.0
7,vaini,to,-21.2,-175.2,19.09,94.0,75.0,1.03,1627402007.0
8,kapaa,us,22.0752,-159.319,26.18,82.0,20.0,4.63,1627402018.0
9,hasaki,jp,35.7333,140.8333,24.22,73.0,87.0,4.14,1627402193.0
10,tasiilaq,gl,65.6145,-37.6368,6.09,82.0,47.0,1.87,1627402193.0
11,mahebourg,mu,-20.4081,57.7,19.03,87.0,99.0,7.29,1627402042.0
12,bubaque,gw,11.2833,-15.8333,27.23,78.0,33.0,3.28,1627402194.0
13,impfondo,cg,1.6381,18.0667,33.29,31.0,65.0,0.35,1627402198.0
14,busselton,au,-33.65,115.3333,8.94,62.0,90.0,5.02,1627402198.0
15,mataura,pf,-46.1927,168.8643,8.6,88.0,100.0,0.74,1627402199.0
16,sabha,ly,27.0377,14.4283,36.94,12.0,0.0,3.9,1627402199.0
17,avarua,ck,-21.2078,-159.775,21.03,88.0,40.0,1.54,1627402200.0
18,panama city,us,8.9936,-79.5197,31.27,75.0,40.0,4.12,1627402044.0
19,upernavik,gl,72.7868,-56.1549,8.73,82.0,100.0,3.88,1627402010.0
20,sosnovo-ozerskoye,ru,52.5249,111.5418,12.52,87.0,89.0,1.63,1627402200.0
21,san vicente,ph,-26.6167,-54.1333,9.07,72.0,100.0,3.2,1627402201.0
22,rikitea,pf,-23.1203,-134.9692,23.49,75.0,97.0,7.51,1627402206.0
23,broken hill,au,-31.95,141.4333,17.86,24.0,42.0,12.45,1627402064.0
24,port lincoln,au,-34.7333,135.8667,12.73,74.0,37.0,12.62,1627402208.0
25,chimore,bo,-16.9833,-65.1333,19.73,74.0,97.0,1.6,1627402208.0
26,ambagarh chauki,in,20.7833,80.7167,25.23,82.0,100.0,3.99,1627402209.0
27,port augusta,au,-32.5,137.7667,15.08,74.0,100.0,7.74,1627402209.0
28,jamestown,sh,42.097,-79.2353,28.62,50.0,1.0,6.69,1627402158.0
29,korla,cn,41.7597,86.1469,33.73,15.0,0.0,1.18,1627402210.0
30,batagay-alyta,ru,67.8006,130.4114,9.94,64.0,99.0,4.64,1627402210.0
31,sitka,us,57.0531,-135.33,14.94,77.0,75.0,2.06,1627402142.0
32,ulaangom,mn,49.9811,92.0667,19.84,61.0,93.0,1.19,1627402210.0
33,rabak,sd,13.1809,32.74,29.27,56.0,100.0,3.52,1627401974.0
34,sinnamary,gf,5.3833,-52.95,29.52,64.0,28.0,3.67,1627402212.0
35,velingrad,bg,42.0272,23.9957,33.82,31.0,46.0,0.57,1627401905.0
36,ushuaia,ar,-54.8,-68.3,2.81,87.0,90.0,0.0,1627401975.0
37,cururupu,br,-1.8283,-44.8683,31.63,50.0,22.0,2.85,1627402213.0
38,nanortalik,gl,60.1432,-45.2371,8.35,76.0,98.0,0.86,1627402016.0
39,bambous virieux,mu,-20.3428,57.7575,19.01,85.0,100.0,6.72,1627402213.0
40,ponta do sol,cv,32.6667,-17.1,26.51,72.0,4.0,1.68,1627402082.0
41,ledyard,us,41.4398,-72.0142,31.63,55.0,0.0,0.89,1627402214.0
42,barrow,us,71.2906,-156.7887,6.01,87.0,90.0,3.09,1627402214.0
43,esperance,au,-33.8667,121.9,11.16,72.0,80.0,9.64,1627402214.0
44,ustye,ru,59.6304,39.736,19.91,67.0,46.0,0.98,1627402215.0
45,sosva,ru,59.1766,61.8558,13.59,53.0,58.0,4.09,1627402216.0
46,san ignacio,bo,17.1561,-89.0714,31.08,66.0,20.0,0.0,1627402216.0
47,manicore,br,-5.8092,-61.3003,35.95,31.0,27.0,1.25,1627402216.0
48,hermanus,za,-34.4187,19.2345,17.11,77.0,31.0,9.79,1627402216.0
49,aklavik,ca,68.2191,-135.0107,13.0,88.0,90.0,2.06,1627402021.0
50,antalaha,mg,-14.9003,50.2788,20.03,83.0,18.0,3.59,1627402217.0
51,bredasdorp,za,-34.5322,20.0403,16.82,65.0,14.0,6.68,1627402217.0
52,mananjary,mg,-21.2167,48.3333,18.01,83.0,11.0,6.31,1627402218.0
53,san patricio,mx,28.017,-97.5169,31.62,49.0,7.0,1.46,1627402113.0
54,puerto ayora,ec,-0.7393,-90.3518,23.23,68.0,54.0,5.06,1627402044.0
55,cabo san lucas,mx,22.8909,-109.9124,33.67,63.0,1.0,1.34,1627402047.0
56,bethel,us,41.3712,-73.414,31.86,60.0,1.0,0.45,1627402218.0
57,marsh harbour,bs,26.5412,-77.0636,29.3,68.0,57.0,3.61,1627401937.0
58,savinka,ru,50.0785,47.0994,26.82,31.0,81.0,5.1,1627402219.0
59,yulara,au,-25.2406,130.9889,18.91,32.0,90.0,3.09,1627402219.0
60,faanui,pf,-16.4833,-151.75,25.49,73.0,34.0,4.02,1627402220.0
61,kasama,zm,-10.2129,31.1808,16.45,38.0,7.0,2.72,1627402220.0
62,voh,nc,-20.9667,164.7,16.28,80.0,0.0,2.14,1627402220.0
63,santa helena de goias,br,-17.8136,-50.5969,31.17,19.0,7.0,3.08,1627402221.0
64,tarko-sale,ru,64.9225,77.785,9.18,79.0,20.0,2.18,1627402221.0
65,longyearbyen,sj,78.2186,15.6401,7.91,81.0,75.0,4.12,1627402222.0
66,hobart,au,-42.8794,147.3294,14.03,63.0,89.0,2.24,1627402222.0
67,tuatapere,nz,-46.1333,167.6833,8.79,88.0,94.0,2.35,1627402222.0
68,igarka,ru,67.4667,86.5833,16.56,98.0,100.0,3.27,1627402223.0
69,aripuana,br,-9.1667,-60.6333,36.59,26.0,6.0,0.71,1627402223.0
70,carutapera,br,-1.195,-46.02,29.86,62.0,42.0,3.52,1627402224.0
71,sola,vu,-13.8833,167.55,26.2,79.0,77.0,9.55,1627402224.0
72,hay river,ca,60.8156,-115.7999,11.25,65.0,100.0,2.84,1627402087.0
73,ilulissat,gl,69.2167,-51.1,13.01,58.0,75.0,2.06,1627402224.0
74,yeniseysk,ru,58.4497,92.1703,15.04,90.0,95.0,2.7,1627402225.0
75,east london,za,-33.0153,27.9116,24.3,26.0,0.0,4.91,1627402225.0
76,bluff,nz,-46.6,168.3333,8.78,74.0,92.0,8.89,1627402226.0
77,albany,au,42.6001,-73.9662,29.59,59.0,5.0,0.89,1627402227.0
78,arraial do cabo,br,-22.9661,-42.0278,28.92,48.0,0.0,6.69,1627402228.0
79,taunggyi,mm,20.7833,97.0333,17.39,95.0,98.0,1.78,1627402228.0
80,port alfred,za,-33.5906,26.891,23.55,29.0,0.0,8.7,1627402233.0
81,poum,nc,-20.2333,164.0167,20.97,68.0,43.0,5.76,1627402233.0
82,sorland,no,67.667,12.6934,19.04,88.0,7.0,4.94,1627402234.0
83,berdigestyakh,ru,62.0989,126.6992,12.41,71.0,6.0,2.04,1627402234.0
84,carnarvon,au,-24.8667,113.6333,14.04,60.0,75.0,1.54,1627402234.0
85,saint anthony,ca,45.0205,-93.218,30.95,63.0,1.0,1.34,1627402234.0
86,codrington,ag,-38.2667,141.9667,12.07,88.0,86.0,10.25,1627402235.0
87,pevek,ru,69.7008,170.3133,1.08,93.0,100.0,7.09,1627402235.0
88,cervo,es,43.6702,-7.4101,24.0,75.0,38.0,3.52,1627402235.0
89,iqaluit,ca,63.7506,-68.5145,11.5,58.0,90.0,5.36,1627402236.0
90,tiksi,ru,71.6872,128.8694,2.16,94.0,56.0,2.51,1627402158.0
91,atuona,pf,-9.8,-139.0333,25.03,77.0,16.0,8.15,1627402048.0
92,qaanaaq,gl,77.484,-69.3632,6.22,95.0,75.0,3.37,1627402236.0
93,cayenne,gf,4.9333,-52.3333,31.02,75.0,75.0,3.13,1627402236.0
94,niquelandia,br,-14.4739,-48.4597,32.96,17.0,52.0,1.35,1627402237.0
95,port elizabeth,za,-33.918,25.5701,23.19,29.0,2.0,6.43,1627402237.0
96,terney,ru,45.0503,136.6092,20.72,93.0,50.0,1.4,1627402237.0
97,chokurdakh,ru,70.6333,147.9167,1.94,85.0,100.0,4.8,1627402238.0
98,monteagudo,bo,-19.8167,-63.9833,11.19,52.0,100.0,3.24,1627402238.0
99,lovrenc na pohorju,si,46.5406,15.3931,28.99,53.0,100.0,3.74,1627402238.0
100,hamilton,bm,39.1834,-84.5333,31.08,52.0,0.0,0.45,1627401549.0
101,narsaq,gl,60.9167,-46.05,16.12,48.0,98.0,3.52,1627402239.0
102,jalu,ly,29.0331,21.5482,36.88,17.0,0.0,3.73,1627402168.0
103,bure,et,10.7,37.0667,15.0,96.0,96.0,2.04,1627402035.0
104,sakakah,sa,29.9697,40.2064,41.38,12.0,0.0,6.94,1627402134.0
105,donskoy,ru,53.9711,38.3363,21.44,70.0,52.0,1.0,1627402239.0
106,mount isa,au,-20.7333,139.5,9.87,57.0,1.0,0.0,1627402110.0
107,loubomo,cg,-4.1997,12.6739,32.94,26.0,65.0,1.63,1627402240.0
108,plover,us,44.4564,-89.544,25.47,72.0,1.0,4.02,1627402233.0
109,vardo,no,70.3705,31.1107,16.11,93.0,75.0,2.57,1627402241.0
110,la ronge,ca,55.1001,-105.2842,19.87,52.0,100.0,5.13,1627402241.0
111,jackson,us,42.4165,-122.8345,21.58,83.0,90.0,1.54,1627402191.0
112,sheffield,us,53.383,-1.4659,21.44,88.0,96.0,2.5,1627402241.0
113,surt,ly,31.2089,16.5887,27.97,59.0,0.0,7.75,1627402242.0
114,lebu,cl,-37.6167,-73.65,9.08,66.0,1.0,10.0,1627402022.0
115,avera,pf,33.194,-82.5271,32.6,55.0,30.0,1.68,1627402242.0
116,along,in,28.1667,94.7667,24.84,93.0,89.0,0.59,1627402243.0
117,klaksvik,fo,62.2266,-6.589,12.51,97.0,98.0,6.0,1627401972.0
118,vieste,it,41.8825,16.175,28.44,64.0,17.0,4.62,1627402243.0
119,umm lajj,sa,25.0213,37.2685,31.34,65.0,100.0,5.11,1627402243.0
