,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,ous,ru,60.9058,61.5186,14.98,70.0,36.0,1.82,1626900375.0
1,punta arenas,cl,-53.15,-70.9167,5.06,81.0,90.0,6.69,1626899755.0
2,mataura,pf,-46.1927,168.8643,6.93,97.0,100.0,1.47,1626899947.0
3,longyearbyen,sj,78.2186,15.6401,5.91,65.0,20.0,6.69,1626900023.0
4,ushuaia,ar,-54.8,-68.3,0.81,80.0,75.0,2.06,1626899962.0
5,vao,nc,-22.6667,167.4833,21.41,69.0,42.0,5.93,1626900103.0
6,albany,au,42.6001,-73.9662,26.16,70.0,59.0,4.02,1626899961.0
7,victoria,sc,22.2855,114.1577,28.51,90.0,88.0,0.89,1626900283.0
8,kruisfontein,za,-34.0033,24.7314,7.16,71.0,95.0,13.26,1626900371.0
9,saldanha,za,-33.0117,17.9442,9.03,62.0,73.0,6.82,1626900186.0
10,avarua,ck,-21.2078,-159.775,26.03,83.0,20.0,5.66,1626900377.0
11,faanui,pf,-16.4833,-151.75,26.13,77.0,48.0,8.39,1626900179.0
12,namatanai,pg,-3.6667,152.4333,26.1,84.0,68.0,2.16,1626900377.0
13,deer lake,ca,49.1667,-57.4316,17.92,68.0,90.0,4.63,1626900377.0
14,subate,lv,56.0062,25.9076,11.43,80.0,0.0,2.87,1626900378.0
15,yar-sale,ru,66.8333,70.8333,13.38,92.0,100.0,3.19,1626900378.0
16,tucurui,br,-3.7661,-49.6725,29.1,59.0,94.0,0.68,1626900378.0
17,busselton,au,-33.65,115.3333,9.47,81.0,60.0,3.32,1626899953.0
18,arraial do cabo,br,-22.9661,-42.0278,20.98,77.0,0.0,2.57,1626899804.0
19,roebourne,au,-20.7833,117.1333,21.88,69.0,8.0,3.84,1626900064.0
20,tuktoyaktuk,ca,69.4541,-133.0374,22.0,68.0,1.0,3.6,1626899982.0
21,tuatapere,nz,-46.1333,167.6833,7.12,89.0,100.0,1.86,1626899968.0
22,barrow,us,71.2906,-156.7887,2.01,93.0,90.0,7.72,1626900327.0
23,nikolskoye,ru,59.7035,30.7861,15.94,70.0,11.0,2.35,1626899979.0
24,havelock,us,34.8791,-76.9013,31.1,80.0,75.0,2.68,1626900302.0
25,kahului,us,20.8947,-156.47,27.59,83.0,40.0,5.66,1626899691.0
26,yoichi,jp,43.2039,140.7703,20.99,86.0,100.0,1.07,1626900380.0
27,port blair,in,11.6667,92.75,27.27,85.0,100.0,10.31,1626900040.0
28,eyl,so,7.9803,49.8164,27.01,67.0,61.0,10.54,1626900380.0
29,marienburg,sr,54.0359,19.0266,16.81,87.0,35.0,1.93,1626900380.0
30,mount gambier,au,-37.8333,140.7667,5.95,93.0,40.0,2.57,1626899966.0
31,viedma,ar,-40.8135,-62.9967,12.67,51.0,100.0,4.39,1626900288.0
32,broken hill,au,-31.95,141.4333,5.84,65.0,100.0,6.17,1626900381.0
33,rikitea,pf,-23.1203,-134.9692,22.84,57.0,35.0,6.82,1626899946.0
34,vaini,to,-21.2,-175.2,24.09,73.0,20.0,3.6,1626899958.0
35,butaritari,ki,3.0707,172.7902,28.22,75.0,31.0,5.47,1626899972.0
36,atuona,pf,-9.8,-139.0333,25.4,66.0,59.0,8.44,1626899986.0
37,huarmey,pe,-10.0681,-78.1522,20.65,72.0,13.0,4.81,1626900088.0
38,sitka,us,57.0531,-135.33,13.94,77.0,75.0,3.09,1626899954.0
39,bluff,nz,-46.6,168.3333,7.11,80.0,100.0,5.77,1626899951.0
40,new norfolk,au,-42.7826,147.0587,9.38,81.0,100.0,1.43,1626899965.0
41,pisco,pe,-13.7,-76.2167,18.03,72.0,20.0,4.12,1626900072.0
42,vila velha,br,-20.3297,-40.2925,24.42,65.0,20.0,2.57,1626899976.0
43,east london,za,-33.0153,27.9116,10.6,72.0,28.0,9.63,1626899959.0
44,guerrero negro,mx,27.9769,-114.0611,25.58,63.0,100.0,7.71,1626899984.0
45,remedios,pa,22.4947,-79.5458,34.51,72.0,14.0,5.0,1626900382.0
46,sur,om,22.5667,59.5289,35.16,45.0,47.0,5.81,1626899999.0
47,kavieng,pg,-2.5744,150.7967,27.49,78.0,100.0,3.59,1626900038.0
48,praia da vitoria,pt,38.7333,-27.0667,23.14,64.0,75.0,6.6,1626899991.0
49,laguna,br,38.421,-121.4238,39.56,33.0,1.0,0.45,1626899937.0
50,carnarvon,au,-24.8667,113.6333,13.04,68.0,8.0,3.6,1626899950.0
51,semey,kz,50.4111,80.2275,18.15,75.0,35.0,3.84,1626899997.0
52,sakakah,sa,29.9697,40.2064,36.76,16.0,0.0,5.29,1626899945.0
53,adrar,dz,20.5022,-10.0711,34.11,8.0,38.0,5.9,1626900074.0
54,port alfred,za,-33.5906,26.891,10.21,74.0,95.0,13.16,1626899975.0
55,san quintin,mx,30.4833,-115.95,24.87,67.0,53.0,6.51,1626900058.0
56,jamestown,sh,42.097,-79.2353,22.94,60.0,20.0,4.63,1626899724.0
57,vila,vu,42.0304,-8.1588,20.97,80.0,18.0,0.96,1626900383.0
58,nanyang,cn,32.9947,112.5328,23.33,93.0,72.0,3.21,1626900185.0
59,aljezur,pt,37.3191,-8.8033,17.26,90.0,1.0,4.58,1626900384.0
60,bredasdorp,za,-34.5322,20.0403,6.62,87.0,99.0,3.6,1626899951.0
61,bambous virieux,mu,-20.3428,57.7575,21.14,64.0,20.0,6.69,1626899942.0
62,chukhloma,ru,58.7525,42.6825,10.44,97.0,40.0,2.08,1626900384.0
63,yaan,cn,7.3833,8.5667,22.96,93.0,98.0,2.3,1626900384.0
64,kodiak,us,57.79,-152.4072,12.84,91.0,91.0,2.7,1626899946.0
65,atocha,bo,-20.9333,-66.2333,11.19,17.0,59.0,4.63,1626900385.0
66,thompson,ca,55.7435,-97.8558,24.09,50.0,75.0,2.57,1626899965.0
67,castro,cl,-24.7911,-50.0119,12.07,57.0,7.0,0.92,1626899949.0
68,hobart,au,-42.8794,147.3294,9.57,81.0,20.0,1.34,1626899943.0
69,bahraich,in,27.5833,81.6,29.13,90.0,100.0,3.45,1626900385.0
70,taltal,cl,-25.4,-70.4833,16.68,66.0,22.0,3.0,1626899999.0
71,council bluffs,us,41.2619,-95.8608,30.43,59.0,75.0,2.57,1626900386.0
72,telma,ru,52.6983,103.7097,11.56,94.0,0.0,2.41,1626900386.0
73,altay,cn,47.8667,88.1167,21.61,29.0,69.0,3.67,1626900386.0
74,tateyama,jp,34.9833,139.8667,26.68,83.0,1.0,1.8,1626900386.0
75,dikson,ru,73.5069,80.5464,9.99,65.0,99.0,8.06,1626899971.0
76,bereda,so,43.2686,-7.5406,19.67,100.0,16.0,1.33,1626900387.0
77,porto tolle,it,44.9497,12.3245,26.01,67.0,16.0,3.56,1626900387.0
78,qaanaaq,gl,77.484,-69.3632,3.36,99.0,100.0,6.14,1626899960.0
79,henties bay,na,-22.116,14.2845,12.7,82.0,0.0,4.81,1626900082.0
80,inyonga,tz,-6.7167,32.0667,18.6,45.0,0.0,1.85,1626900388.0
81,hami,cn,42.8,93.45,29.73,24.0,100.0,1.52,1626900040.0
82,sao joao da barra,br,-21.6403,-41.0511,23.05,76.0,100.0,4.09,1626900087.0
83,chokurdakh,ru,70.6333,147.9167,7.06,72.0,88.0,3.03,1626899948.0
84,kapaa,us,22.0752,-159.319,28.18,81.0,75.0,0.45,1626899973.0
85,port hedland,au,-20.3167,118.5667,18.03,100.0,39.0,0.0,1626900388.0
86,aranda de duero,es,41.6704,-3.6892,25.31,23.0,5.0,2.08,1626900335.0
87,bethel,us,41.3712,-73.414,27.82,69.0,20.0,0.45,1626899945.0
88,hermanus,za,-34.4187,19.2345,7.72,69.0,99.0,7.45,1626899970.0
89,puerto ayora,ec,-0.7393,-90.3518,28.98,90.0,100.0,5.36,1626899963.0
90,port elizabeth,za,-33.918,25.5701,8.94,72.0,77.0,13.02,1626899953.0
91,abu samrah,qa,35.3029,37.1841,23.49,70.0,0.0,6.31,1626900102.0
92,sao jose da coroa grande,br,-8.8978,-35.1478,24.0,83.0,36.0,4.98,1626900389.0
93,kirakira,sb,-10.4544,161.9205,26.23,86.0,20.0,3.6,1626900010.0
94,katobu,id,-4.9408,122.5276,22.0,96.0,65.0,0.58,1626900240.0
95,tezu,in,27.9167,96.1667,25.86,85.0,94.0,1.64,1626900389.0
96,santo antonio do ica,br,-3.1022,-67.9397,30.68,55.0,46.0,1.41,1626900390.0
97,adilabad,in,19.6667,78.5333,24.13,94.0,100.0,5.73,1626900390.0
98,provideniya,ru,64.3833,-173.3,8.06,76.0,90.0,4.0,1626899952.0
99,pangnirtung,ca,66.1451,-65.7125,9.0,76.0,75.0,7.72,1626900009.0
100,cape town,za,-33.9258,18.4232,8.95,83.0,40.0,0.89,1626899950.0
101,pahrump,us,36.2083,-115.9839,36.8,23.0,99.0,0.89,1626900102.0
102,sarankhola,bd,22.3082,89.7897,27.43,88.0,100.0,4.18,1626900391.0
103,sept-iles,ca,50.2001,-66.3821,19.29,63.0,90.0,1.79,1626899974.0
104,kaitangata,nz,-46.2817,169.8464,8.85,70.0,100.0,2.83,1626900009.0
105,lagoa,pt,39.05,-27.9833,19.77,74.0,93.0,8.05,1626900025.0
106,pevek,ru,69.7008,170.3133,5.31,64.0,2.0,1.45,1626899956.0
107,wageningen,sr,51.9667,5.6667,20.11,80.0,75.0,3.09,1626900391.0
108,kabanjahe,id,3.1001,98.4908,16.62,95.0,89.0,1.85,1626900392.0
109,saint-philippe,re,-21.3585,55.7679,20.77,77.0,71.0,6.79,1626899969.0
110,rabo de peixe,pt,37.8,-25.5833,20.73,73.0,20.0,5.14,1626900392.0
111,cidreira,br,-30.1811,-50.2056,13.34,63.0,0.0,2.5,1626899957.0
112,egvekinot,ru,66.3167,-179.1667,6.05,78.0,97.0,4.62,1626900185.0
113,saskylakh,ru,71.9167,114.0833,12.62,79.0,100.0,5.04,1626900015.0
114,ouesso,cg,1.6136,16.0517,25.37,67.0,100.0,0.94,1626900392.0
115,birao,cf,10.2849,22.7882,22.39,91.0,99.0,1.2,1626900393.0
116,arlit,ne,18.7369,7.3853,36.05,25.0,98.0,3.14,1626900080.0
117,charlottetown,ca,46.2352,-63.1267,19.0,92.0,90.0,4.92,1626899680.0
118,cherskiy,ru,68.75,161.3,13.92,50.0,4.0,1.0,1626900239.0
119,grand gaube,mu,-20.0064,57.6608,21.22,73.0,60.0,3.13,1626899998.0
120,yeniseysk,ru,58.4497,92.1703,11.88,97.0,36.0,0.81,1626900393.0
